from device,from port,to device,to port,network,comment
TP-LINK Switch,1,,,makerspace-gt,
TP-LINK Switch,2,,,makerspace-gt,
TP-LINK Switch,3,P01,11,makerspace-gt,
TP-LINK Switch,4,,,makerspace-gt,
TP-LINK Switch,5,P02,6,makerspace-gt,
TP-LINK Switch,6,,,makerspace-gt,
TP-LINK Switch,7,P01,12,makerspace-gt,
TP-LINK Switch,8,P01,14,makerspace-gt,
TP-LINK Switch,9,,,makerspace-gt,
TP-LINK Switch,10,P01,15,makerspace-gt,
TP-LINK Switch,11,,,makerspace-gt,
TP-LINK Switch,12,P01,16,makerspace-gt,
TP-LINK Switch,13,P01,17,makerspace-gt,
TP-LINK Switch,14,P01,10,makerspace-gt,
TP-LINK Switch,15T,,,makerspace-gt,
TP-LINK Switch,16T,,,makerspace-gt,
TP-LINK Switch,15F,,,,
TP-LINK Switch,16F,,,,
TP-LINK Switch,Console,,,,
P01,1,,,,
P01,1,,,,
P01,2,,,,
P01,2,,,,
P01,3,,,,
P01,3,,,,
P01,4,,,,
P01,4,,,,
P01,5,,,,
P01,5,,,,
P01,6,3COM Switch,20,,
P01,6,,,,
P01,7,,,,
P01,7,,,,
P01,8,,,,
P01,8,,,,
P01,9,,,,
P01,9,,,,
P01,10,TP-LINK Switch,14,,Server links
P01,10,,,,Server links
P01,11,TP-LINK Switch,3,,Server rechts
P01,11,,,,Server rechts
P01,12,TP-LINK Switch,7,,Küche
P01,12,Mikrotik Router,WAN,,Küche
P01,13,HPE Switch,15,,
P01,13,,,,
P01,14,TP-LINK Switch,8,,Laser links
P01,14,Laser,LAN,,Laser links
P01,15,TP-LINK Switch,10,,Laser rechts
P01,15,,,,Laser rechts
P01,16,TP-LINK Switch,12,,Fräse links
P01,16,,,,Fräse links
P01,17,TP-LINK Switch,13,,Fräse rechts
P01,17,Fräse,LAN,,Fräse rechts
P01,18,,,,
P01,18,,,,
P01,19,HPE Switch,33,,
P01,19,,,,
P01,20,HPE Switch,41,,
P01,20,,,,
P01,21,HPE Switch,36,,
P01,21,,,,
P01,22,HPE Switch,45,,
P01,22,,,,
P01,23,HPE Switch,47,,
P01,23,,,,
P01,24,,,,
P01,24,,,,
P02,1,,,,
P02,1,,,,
P02,2,,,,
P02,2,,,,
P02,3,,,,
P02,3,,,,
P02,4,HPE Switch,6,,
P02,4,,,,
P02,5,3COM Switch,15,,Zwischenwand oben links
P02,5,TP-LINK Router,WAN,,Zwischenwand oben links
P02,6,TP-LINK Switch,5,,Zwischenwand oben rechts
P02,6,TP-LINK Router,1,,Zwischenwand oben rechts
P02,7,,,,Zwischenwand unten links
P02,7,,,,Zwischenwand unten links
P02,8,,,,Zwischenwand unten rechts
P02,8,,,,Zwischenwand unten rechts
P02,9,HPE Switch,17,,
P02,9,,,,
P02,10,HPE Switch,18,,
P02,10,,,,
P02,11,HPE Switch,46,,
P02,11,,,,
P02,12,HPE Switch,31,,
P02,12,,,,
P02,13,HPE Switch,19,,
P02,13,,,,
P02,14,HPE Switch,22,,
P02,14,,,,
P02,15,HPE Switch,21,,
P02,15,,,,
P02,16,HPE Switch,43,,
P02,16,,,,
P02,17,HPE Switch,23,,
P02,17,,,,
P02,18,HPE Switch,37,,
P02,18,,,,
P02,19,HPE Switch,39,,
P02,19,,,,
P02,20,,,,
P02,20,,,,
P02,21,HPE Switch,35,,
P02,21,,,,
P02,22,loses,Ende,,
P02,22,,,,
P02,23,,,,
P02,23,,,,
P02,24,,,,
P02,24,,,,
P03,1,,,,
P03,1,,,,
P03,2,,,,
P03,2,,,,
P03,3,,,,
P03,3,,,,
P03,4,HPE Switch,8,,
P03,4,,,,
P03,5,HPE Switch,7,,
P03,5,,,,
P03,6,HPE Switch,10,,
P03,6,,,,
P03,7,,,,
P03,7,,,,
P03,8,,,,
P03,8,,,,
P03,9,HPE Switch,12,,
P03,9,,,,
P03,10,,,,
P03,10,,,,
P03,11,,,,
P03,11,,,,
P03,12,,,,
P03,12,,,,
P03,13,,,,
P03,13,,,,
P03,14,,,,
P03,14,,,,
P03,15,,,,
P03,15,,,,
P03,16,,,,
P03,16,,,,
P03,17,,,,
P03,17,,,,
P03,18,,,,
P03,18,,,,
P03,19,,,,
P03,19,,,,
P03,20,HPE Switch,42,,
P03,20,,,,
P03,21,,,,
P03,21,,,,
P03,22,,,,
P03,22,,,,
P03,23,,,,
P03,23,,,,
P03,24,,,,
P03,24,,,,
HPE Switch,1,,,,
HPE Switch,2,,,,
HPE Switch,3,,,,
HPE Switch,4,,,,
HPE Switch,5,,,,
HPE Switch,6,P02,4,,
HPE Switch,7,P03,5,,
HPE Switch,8,P03,4,,
HPE Switch,9,,,,
HPE Switch,10,P03,6,,
HPE Switch,11,,,,
HPE Switch,12,P03,9,,
HPE Switch,13,,,,
HPE Switch,14,,,,
HPE Switch,15,P01,13,,
HPE Switch,16,,,,
HPE Switch,17,P02,9,,
HPE Switch,18,P02,10,,
HPE Switch,19,P02,13,,
HPE Switch,20,,,,
HPE Switch,21,P02,15,,
HPE Switch,22,P02,14,,
HPE Switch,23,P02,17,,
HPE Switch,24,,,,
HPE Switch,25,,,,
HPE Switch,26,,,,
HPE Switch,27,,,,
HPE Switch,28,,,,
HPE Switch,29,,,,
HPE Switch,30,,,,
HPE Switch,31,P02,12,,
HPE Switch,32,,,,
HPE Switch,33,P01,19,,
HPE Switch,34,,,,
HPE Switch,35,P02,21,,
HPE Switch,36,P01,21,,
HPE Switch,37,P02,18,,
HPE Switch,38,,,,
HPE Switch,39,P02,19,,
HPE Switch,40,,,,
HPE Switch,41,P01,20,,
HPE Switch,42,P03,20,,
HPE Switch,43,P02,16,,
HPE Switch,44,ABUS,LAN,,
HPE Switch,45,P01,22,,
HPE Switch,46,P02,11,,
HPE Switch,47,P01,23,,
HPE Switch,48,Fritz!Box Router,LAN2,,
HPE Switch,SFP 49,,,,
HPE Switch,SFP 50,,,,
HPE Switch,SFP 51,,,,
HPE Switch,SFP 52,,,,
3COM Switch,1,,,,
3COM Switch,2,,,,
3COM Switch,3,,,,
3COM Switch,4,,,,
3COM Switch,5,,,,
3COM Switch,6,,,,
3COM Switch,7,,,,
3COM Switch,8,,,,
3COM Switch,9,,,,
3COM Switch,10,,,,
3COM Switch,11,,,,
3COM Switch,12,,,,
3COM Switch,13,,,,
3COM Switch,14,,,,
3COM Switch,15,P02,5,,
3COM Switch,16,,,,
3COM Switch,17,,,,
3COM Switch,18,,,,
3COM Switch,19,,,,
3COM Switch,20,P01,6,,
3COM Switch,21,,,,
3COM Switch,22,,,,
3COM Switch,23,,,,
3COM Switch,24,Fritz!Box Router,LAN1,,
Fritz!Box Router,DSL,Dose,links,DSL Uplink?,
Fritz!Box Router,WAN,,,,
